('纳智捷 优6 SUV 2015款 1.8T 魅力型', 'https://image1.guazistatic.com/qn180712062402fd0cae37dedc01a97e32d444e479d125.jpg', '2015年', '5.60万', '14.80万')
('纳智捷 锐3 2016款 1.6L CVT智享型', 'https://image.guazistatic.com/gz01180604/12/13/de7c21da85528a0faf4c32a7d6648243.jpg', '12.4万公里', '5.50万', '8.70万')
('纳智捷大7 SUV 2014款 2.2T 四驱智尊型', 'https://image1.guazistatic.com/qn171129163647cfa0bba4a1e1b0f92e18b5936b7671f2.jpg', '2016年', '9.60万', '27.00万')
('纳智捷 纳5 2015款 1.8T 自动智慧型', 'https://image1.guazistatic.com/qn180606212738c4be6f53b780bf62bd75f2b15efc3d60.jpg', '1.5万公里', '6.50万', '10.80万')
('纳智捷 纳5 2014款 舞动限量版 1.8T 自动豪华型', 'https://image.guazistatic.com/gz01180606/11/57/d9611c97bb0e47cb357fc87267b5c58d.jpg', '2014年', '5.60万', '14.00万')
('纳智捷纳5 2014款 荣耀导航版 1.8T 自动豪华型', 'https://image1.guazistatic.com/qn1803011743040fc902bd637533aa689d6f1a8c5cbba1.jpg', '6.8万公里', '6.25万', '14.60万')
('纳智捷 优6 SUV 2017款 1.8T 科技超值型', 'https://image1.guazistatic.com/qn1807060102215f66954184717ae02fd56a301a983065.jpg', '2017年', '8.00万', '13.00万')
('纳智捷纳5 2015款 1.8T 自动智尊型', 'https://image1.guazistatic.com/qn180506121359591b14f380b684834ed30d239eac6ecd.jpg', '2015年', '7.90万', '12.60万')
('纳智捷 优6 SUV 2015款 1.8T 新创升级型', 'https://image.guazistatic.com/gz01180629/15/36/bf0d0f8873ebdff2fafa7b7d95cc3cbc.jpg', '2.9万公里', '8.18万', '14.10万')
('纳智捷大7 SUV 2015款 2.2T 两驱智慧型', 'https://image1.guazistatic.com/qn171019115904a3ca8d8996d8c27283fcfcf04f90b784.jpg', '1.1万公里', '12.66万', '22.80万')
('纳智捷 大7 SUV 2013款 锋芒限量版 2.2T 两驱智慧型', 'https://image1.guazistatic.com/qn180701170507bd701f5d87efc5cb500c03fd38f6a5c6.jpg', '2016年', '7.00万', '24.30万')
('纳智捷优6 SUV 2014款 1.8T 时尚型', 'https://image.guazistatic.com/gz01180408/11/46/b5f539530f838252775d7e1adced4f0f.jpg', '2014年', '6.80万', '16.30万')
('纳智捷优6 SUV 2014款 2.0T 时尚型', 'https://image.guazistatic.com/gz01180403/14/26/e13e8efc4433f65544e564ae7d4dc600.jpg', '2.5万公里', '7.60万', '17.30万')
('纳智捷优6 SUV 2014款 1.8T 时尚型', 'https://image1.guazistatic.com/qn1802270104073d20942cfeead62d47228ef47f30df87.jpg', '4.3万公里', '7.00万', '16.30万')
('纳智捷纳5 2015款 1.8T 自动智尊型', 'https://image1.guazistatic.com/qn180125193753e20207760cb95827879a0d6a35fa1b09.jpg', '2013年', '7.90万', '12.60万')
('纳智捷 大7 SUV 2014款 荣耀典藏版 2.2T 两驱智慧型', 'https://image.guazistatic.com/gz01180626/11/14/6903734fa6cefea596f2d11e9b252aed.jpg', '2014年', '8.00万', '25.40万')
('纳智捷 优6 SUV 2016款 1.8T 智尊型', 'https://image.guazistatic.com/gz01180604/11/46/69b1222747439e138e553a11cbd2d968.jpg', '7.2万公里', '9.00万', '18.40万')
('纳智捷大7 SUV 2013款 锋芒限量版 2.2T 两驱智慧型', 'https://image1.guazistatic.com/qn170309163624303f9060633e6245080b532cb56cfb8b.jpg', '8.1万公里', '8.70万', '24.30万')
('纳智捷大7 SUV 2014款 2.2T 四驱智尊型', 'https://image1.guazistatic.com/qn180311234633f377a450712859f0ff0d9d040ecf1584.jpg', '2015年', '9.50万', '27.00万')
('纳智捷大7 SUV 2013款 锋芒限量版 2.2T 两驱智慧型', 'https://image1.guazistatic.com/qn1803191757000583de58cbb8f01141bcc017d1cd59ee.jpg', '2016年', '8.00万', '24.30万')
('纳智捷优6 SUV 2015款 1.8T 魅力型', 'https://image.guazistatic.com/gz01180411/10/58/8d1d53ed9af2383bd72425fa4a8f119c.jpg', '5.4万公里', '9.00万', '14.80万')
('纳智捷 优6 SUV 2016款 1.8T 风尚超值型', 'https://image.guazistatic.com/gz01180628/11/51/1c9ae68e78d258b6a16cc2603f1d99c2.jpg', '4.0万公里', '6.80万', '11.90万')
('纳智捷 优6 SUV 2014款 1.8T 时尚型', 'https://image.guazistatic.com/gz01180523/18/49/3127b6ed8a7268448f0551ba95938b3b.jpg', '2015年', '7.70万', '16.30万')
('纳智捷优6 SUV 2015款 1.8T 魅力升级型', 'https://image1.guazistatic.com/qn170126082221cc72cfef1d8358712d584d02fc11e8db.jpg', '2015年', '9.00万', '14.80万')
('纳智捷优6 SUV 2015款 1.8T 时尚升级型', 'https://image1.guazistatic.com/qn1802281109359a2916385d37a67620e152b547fd3750.jpg', '11.1万公里', '10.00万', '16.30万')
('纳智捷纳5 2015款 1.8T 自动旗舰型', 'https://image1.guazistatic.com/qn1805061216470e7ca3e287dc37a93d9b889578856479.jpg', '3.3万公里', '7.70万', '13.00万')
('纳智捷优6 SUV 2014款 1.8T 时尚型', 'https://image1.guazistatic.com/qn180507113200505762d71892f4379d8acaf8a21ab3f4.jpg', '2015年', '8.20万', '16.30万')
('纳智捷纳5 2015款 1.8T 自动智尊型', 'https://image.guazistatic.com/gz01180416/15/23/942badbf9bde1c0fb4310e52961ef7cb.jpg', '2014年', '7.00万', '12.60万')
('纳智捷优6 SUV 2014款 1.8T 时尚型', 'https://image1.guazistatic.com/qn18032214301243038ed74d9e5ccf2f6f1acb53f17c1a.jpg', '2.0万公里', '8.24万', '16.30万')
('纳智捷 优6 SUV 2016款 1.8T 魅力升级型', 'https://image1.guazistatic.com/qn1807052150049d9998b1516dc08062ea7f98720a9e71.jpg', '5.5万公里', '7.60万', '14.80万')
('纳智捷优6 SUV 2017款 改款 1.6T 旗舰型', 'https://image1.guazistatic.com/qn18041910344880dda4e53f38810cb7502f6268cf2818.jpg', '2013年', '12.00万', '17.30万')
('纳智捷优6 SUV 2014款 1.8T 时尚型', 'https://image1.guazistatic.com/qn17110215583705c03a1a75a15fe0d1de47df3b2252e1.jpg', '2014年', '7.90万', '16.30万')
('纳智捷优6 SUV 2014款 2.0T 时尚型', 'https://image.guazistatic.com/gz01180502/17/57/28bc015713823424370ea45bca1ce761.jpg', '5.4万公里', '8.60万', '17.30万')
