('五菱宏光 2013款 1.5L 基本型', 'https://image1.guazistatic.com/qn1807111356141e707733a0bfd5fa106eb4cc75703a46.jpg', '2013年', '2.50万', '5.50万')
('五菱宏光 2010款 1.4L 舒适型', 'https://image1.guazistatic.com/qn1805300606592eb526787198c4f115df2b973f80323b.jpg', '2.6万公里', '2.70万', '6.30万')
('五菱之光 2013款 1.0L 基本型', 'https://image1.guazistatic.com/qn180709054217632dde10bb3f92c40bc07b658600986d.jpg', '2013年', '1.60万', '3.60万')
('五菱荣光 2011款 1.2L舒适型', 'https://image1.guazistatic.com/qn1807101508385a64a66c4f83d2da3e0a74e58df22a60.jpg', '12.1万公里', '1.90万', '5.80万')
('五菱荣光 2011款 1.2L标准型', 'https://image1.guazistatic.com/qn1807131111254e3324e29ad7351138889a9c749f0f95.jpg', '2015年', '1.40万', '7.90万')
('五菱宏光 2013款 1.5L 基本型', 'https://image1.guazistatic.com/qn180522174357e9f009f6f09b56568be133fbc67c9faa.jpg', '7.4万公里', '2.65万', '5.50万')
('五菱宏光 2010款 1.4L 舒适型', 'https://image1.guazistatic.com/qn18051717485039e148c02aa2336f283a6d419193eabb.jpg', '2013年', '2.30万', '6.30万')
('五菱宏光 2010款 1.2L 舒适型', 'https://image1.guazistatic.com/qn1801081257537c084edcd923131803f4e6484d28472d.jpg', '2014年', '2.90万', '5.80万')
('五菱宏光 2010款 1.4L 舒适型', 'https://image1.guazistatic.com/qn180712142055a5f021493d4709b97df04b6d10f38f54.jpg', '3.5万公里', '2.30万', '6.30万')
('五菱荣光 2011款 1.2L标准型', 'https://image1.guazistatic.com/qn180607130948020c30363e1133af63ce57dbdf8f895f.jpg', '2011年', '1.70万', '7.90万')
('五菱征程 2015款 1.8L舒适型LJ479QE2', 'https://image.guazistatic.com/gz01180627/12/47/354f8863f7d95a05cb44b4bc68792d21.jpg', '2016年', '5.30万', '7.70万')
('五菱荣光V 2016款 1.5L标准型', 'https://image1.guazistatic.com/qn180713152224965c00d02ea85cd47df13b64bf75feba.jpg', '14.3万公里', '3.50万', '5.00万')
