('±¾Ìï ½ÜµÂ 2013¿î 1.8L ×Ô¶¯ÊæÊÊ°æ 5×ù', 'https://image1.guazistatic.com/qn180705184447f2785e934fde927252b8e434e644ada0.jpg', '2013Äê', '9.00Íò', '16.30Íò')
('±¾Ìï °ÂµÂÈü 2017¿î 2.4L ºÀ»ª°æ', 'https://image.guazistatic.com/gz01180702/11/18/4e48fc4f6a615ff63e568d14f28145c4.jpg', '8.5Íò¹«Àï', '19.99Íò', '27.10Íò')
('±¾Ìï °ÂµÂÈü 2013¿î 2.4L Ã÷¼øÁìĞã°æ', 'https://image.guazistatic.com/gz01180630/16/41/64ebef12dfd75974b6ae0f20b2e7dacf.jpg', '2016Äê', '14.50Íò', '31.10Íò')
('±¾Ìï°ÂµÂÈü 2011¿î ¾¢Ğã 2.4L ºÀ»ª°æ', 'https://image1.guazistatic.com/qn18031214375649fb6e3265ab41d61deafb2d88fda7ee.jpg', '6.4Íò¹«Àï', '12.80Íò', '27.90Íò')
('±¾ÌïÁèÅÉ 2016¿î 1.8L CVTºÀ»ª°æ', 'https://image1.guazistatic.com/qn180322193659f359087bf0f1300c8f39215644f6b223.jpg', '2017Äê', '11.30Íò', '14.60Íò')
('±¾Ìï·É¶È 2011¿î 1.3L ×Ô¶¯ÊæÊÊ°æ', 'https://image1.guazistatic.com/qn18031208255798263a9b38496b059bfaa011d3e74536.jpg', '1.9Íò¹«Àï', '4.65Íò', '9.70Íò')
('±¾Ìï Ë¼²¬î£ 2015¿î 2.4L ×ğ¹ó°æ', 'https://image.guazistatic.com/gz01180704/14/11/10f1c53cc37e34b1553310460712ce0d.jpg', '2013Äê', '16.50Íò', '24.90Íò')
('±¾ÌïCR-V 2007¿î 2.4L ×Ô¶¯ËÄÇıºÀ»ª°æ', 'https://image1.guazistatic.com/qn18022514360986eb5120caa787d71f141b5c294695ef.jpg', '2011Äê', '9.30Íò', '26.00Íò')
('±¾Ìï °ÂµÂÈü 2015¿î ¸Ä¿î 2.4L ºÀ»ª°æ', 'https://image.guazistatic.com/gz01180630/20/24/154548051201130fa0b1046d8f0c2dec.jpg', '14.2Íò¹«Àï', '18.50Íò', '27.10Íò')
('±¾Ìï°ÂµÂÈü 2015¿î 2.4L ºÀ»ª°æ', 'https://image1.guazistatic.com/qn180123123043fec8887a9121709fce53c051e1d107d2.jpg', '10.6Íò¹«Àï', '20.80Íò', '27.10Íò')
('±¾Ìï °ÂµÂÈü 2008¿î 2.4L ±ê×¼°æ', 'https://image1.guazistatic.com/qn180711130555117508f91cc1aada82be91290c0c5f27.jpg', '2007Äê', '7.20Íò', '26.20Íò')
('±¾ÌïCR-Z 2012¿î hybrid(½ø¿Ú)', 'https://image1.guazistatic.com/qn1807131128479e3c8a430a0b4e1f343396ca0132b212.jpg', '2012Äê', '12.00Íò', '31.30Íò')
('±¾Ìï°ÂµÂÈü 2015¿î ¸Ä¿î 2.4L ÖÇÏí°æ', 'https://image1.guazistatic.com/qn1806220037431d1a7602d72b9b1c0b099f205d6d3e38.jpg', '16.5Íò¹«Àï', '21.20Íò', '29.00Íò')
('±¾ÌïÑÅ¸ó 2010¿î 2.4L °ÙÍò¼ÍÄî°æ', 'https://image1.guazistatic.com/qn18051220425109cb5a829d4b28a7cdfc50ff40ef2a8c.jpg', '17.7Íò¹«Àï', '9.20Íò', '24.90Íò')
('±¾Ìï·æ·¶ 2015¿î 1.5L CVTºÀ»ª°æ', 'https://image1.guazistatic.com/qn180201124637a73bfda7bee20cc678dd8d8e25ad5e28.jpg', '2009Äê', '8.36Íò', '11.50Íò')
('±¾Ìï °ÂµÂÈü 2013¿î 2.4L ¾«Ó¢°æ', 'https://image.guazistatic.com/gz01180621/15/32/8711b5bfb1493bb61edb3a9bad03ee6e.jpg', '2013Äê', '13.80Íò', '26.00Íò')
('±¾ÌïÁèÅÉ 2013¿î 1.8L ×Ô¶¯ºÀ»ª°æ', 'https://image1.guazistatic.com/qn180516191258a5284db77692ef2fd608ab97bcb1ce65.jpg', '2016Äê', '9.38Íò', '14.60Íò')
('±¾Ìï °ÂµÂÈü 2015¿î ¸Ä¿î 2.4L ºÀ»ª°æ', 'https://image1.guazistatic.com/qn18071204160826bdec98cb46d7019f81d7e42e4b3e87.jpg', '2015Äê', '22.00Íò', '27.10Íò')
('±¾Ìï ÑÅ¸ó 2010¿î 2.0L EX', 'https://image1.guazistatic.com/qn180626025330091242c22bacd63cb4f749e9c6b76e64.jpg', '13.4Íò¹«Àï', '8.50Íò', '22.00Íò')
('±¾Ìï ÑÅ¸ó 2010¿î 2.0L EX Navi', 'https://image.guazistatic.com/gz01180627/17/04/1e7bdb7d396c8a770cbb156103b80af8.jpg', '5.3Íò¹«Àï', '10.50Íò', '24.20Íò')
