('江淮瑞风S3 2017款 1.5L 手动豪华智能型', 'https://image1.guazistatic.com/qn18051113401949a43c61a1cc5196d387d091fcd8b016.jpg', '2016年', '5.30万', '7.40万')
('江淮瑞风 2015款 2.0L穿梭 汽油长轴标准版HFC4GA3-3D', 'https://image.guazistatic.com/gz01180502/10/41/b8d3a6c934e20fbd463fe2cf0072652f.jpg', '2.1万公里', '7.30万', '10.80万')
('江淮瑞风S5 2015款 1.5T 自动舒适型', 'https://image.guazistatic.com/gz01180426/18/52/7c28c8bba019ced077209414117ce7bc.jpg', '2016年', '6.00万', '13.00万')
('江淮瑞风 2011款 2.0L穿梭 汽油舒适版HFC4GA3', 'https://image1.guazistatic.com/qn1801151636420506519ee4d7a48c5f33a997a165141d.jpg', '2009年', '3.00万', '11.50万')
('江淮 瑞风M5 2016款 2.0T 汽油自动商务版', 'https://image.guazistatic.com/gz01180628/14/26/c72ff7318d4e774924a7d6ca4036146d.jpg', '2.8万公里', '9.50万', '16.20万')
('江淮瑞风M3 2015款 创客版 1.6L 豪华智能型', 'https://image.guazistatic.com/gz01180510/18/51/737f6432f2e33af289076101b8a5f5bb.jpg', '17.1万公里', '5.30万', '8.10万')
('江淮瑞风 2011款 2.8T穿梭 柴油舒适版HFC4DA1-2B1', 'https://image.guazistatic.com/gz01180503/12/28/eee17f6a3adb4783a602c34667628a56.jpg', '2015年', '4.60万', '13.20万')
('江淮 瑞风 2011款 2.0L穿梭 汽油标准版HFC4GA3', 'https://image.guazistatic.com/gz01180701/14/30/420fca79135f910d15af1a90052d0887.jpg', '2015年', '4.90万', '10.80万')
('江淮 瑞风M5 2013款 2.0T 汽油自动公务版', 'https://image1.guazistatic.com/qn18052411492974f346197283f454f07524615f4cc39a.jpg', '8.2万公里', '8.00万', '17.30万')
('江淮 瑞风 2015款 2.0L穿梭 汽油长轴标准版HFC4GA3-3D', 'https://image1.guazistatic.com/qn1807111857094a21e5ddad6493c8c8256989eb6a96c8.jpg', '7.8万公里', '6.00万', '10.80万')
('江淮 瑞风M3 2018款 宜家版 1.6L 豪华型', 'https://image1.guazistatic.com/qn180708213934b88430364da50fcecb120f549c93c648.jpg', '2016年', '6.50万', '8.00万')
('江淮瑞风 2011款 2.0L穿梭 汽油标准版HFC4GA3', 'https://image1.guazistatic.com/qn1803302120149ea91522fea06fefc1a514f597548ace.jpg', '2013年', '3.00万', '10.80万')
('江淮瑞风 2012款 2.0L穿梭时光版HFC4GA3', 'https://image1.guazistatic.com/qn1803101227207d5eebfc67df4bebb0f91b3fef354806.jpg', '3.8万公里', '4.00万', '9.20万')
('江淮瑞风S3 2014款 1.5L CVT豪华智能型', 'https://image.guazistatic.com/gz01180413/09/58/8874320b154cad8752d8cc03c35e23cc.jpg', '3.0万公里', '5.60万', '9.20万')
('江淮iEV3', 'https://image.guazistatic.com/gz01180531/16/24/bf9fc7bef5065f53a6c1ba46115e432c.jpg', '2012年', '2.98万', '14.60万')
('江淮 瑞风M5 2013款 2.0T 汽油自动商务版', 'https://image.guazistatic.com/gz01180705/16/10/5d7e7918e9f3e7e0c7168efd9fb65a2c.jpg', '2015年', '6.86万', '16.20万')
