('现代 全新胜达 2015款 2.4L 自动四驱智能型 5座', 'https://image1.guazistatic.com/qn180708093238c551765cacfe66acb5966ac15bb8a184.jpg', '2015年', '14.68万', '27.10万')
('现代 瑞纳 2014款 1.4L 手动智能型GLS', 'https://image1.guazistatic.com/qn1807101809461382333b220111ce6ca3c999a17dd216.jpg', '4.6万公里', '3.80万', '8.60万')
('现代 朗动 2015款 1.6L 自动领先型', 'https://image.guazistatic.com/gz01180629/15/43/b11bb225939bc60a30170f24ef228424.jpg', '2014年', '7.00万', '13.90万')
('现代 索纳塔八 2013款 2.0L 自动尊贵版', 'https://image1.guazistatic.com/qn180712145016ac8330a49470d7a7d45cb4ba0f0a8c25.jpg', '2012年', '8.80万', '21.60万')
('现代 领动 2016款 1.6L 自动智炫·精英型', 'https://image1.guazistatic.com/qn1807071813144432ece1cd3f1c5160fea5edd213e998.jpg', '3.4万公里', '8.90万', '13.00万')
('现代ix35 2012款 2.0L 自动两驱精英版GLS', 'https://image1.guazistatic.com/qn180709103556b543a4fcd5cfef895cf258aab695e0f7.jpg', '9.9万公里', '7.78万', '21.30万')
('现代 劳恩斯 酷派 2012款 2.0T 自动Brembo版(进口)', 'https://image1.guazistatic.com/qn1807091905468d3fa2ae56ce84e6f279c7e0d1f71b88.jpg', '2015年', '13.90万', '31.30万')
('现代朗动 2015款 1.6L 自动时尚型', 'https://image1.guazistatic.com/qn180707234659cbdb45a3388c87248313fdeaacc2cfcc.jpg', '2013年', '7.06万', '12.60万')
('现代索纳塔八 2015款 经典 2.0L 自动豪华版', 'https://image.guazistatic.com/gz01180501/10/56/414a9019013a19884d41e4d3e38a1741.jpg', '8.0万公里', '9.30万', '20.60万')
('现代 朗动 2016款 1.6L 自动智能型', 'https://image.guazistatic.com/gz01180627/14/37/9e74084561aa32b691c9ab29fef93c76.jpg', '2016年', '8.00万', '12.60万')
('现代索纳塔八 2014款 2.4L 自动领先版 国V', 'https://image1.guazistatic.com/qn1801141007377bcf8c914905d6ab804b2cbb51ea957d.jpg', '10.4万公里', '11.00万', '21.70万')
('现代 名图 2014款 1.8L 自动智能型GLS', 'https://image.guazistatic.com/gz01180613/17/14/8e0cbf3be24d36ff89b5c71b17945978.jpg', '2017年', '11.40万', '16.30万')
('现代名图 2016款 1.8L 自动尊贵型DLX', 'https://image.guazistatic.com/gz01180415/10/28/fd0aa00fa3d08999de6b914c94a54e92.jpg', '6.2万公里', '11.00万', '17.30万')
