('众泰Z700 2016款 1.8T DCT尊贵型', 'https://image1.guazistatic.com/qn18061617255528ebb5a6bd0a110c0aa5397d90446e78.jpg', '2016年', '8.00万', '15.10万')
('众泰Z700 2016款 1.8T DCT典雅型', 'https://image.guazistatic.com/gz01180418/13/33/1b259f909ca29ac2e2145dd88c0a40b8.jpg', '1.9万公里', '10.00万', '14.00万')
('众泰T600 2016款 运动版 2.0T 自动尊贵型', 'https://image.guazistatic.com/gz01180606/10/43/618a964018aca2de2d919c2d862b2de5.jpg', '2017年', '8.00万', '15.20万')
('众泰T600 2015款 1.5T 手动豪华型', 'https://image1.guazistatic.com/qn17101916545956f3054d7d1197c9161f35626169bebf.jpg', '0.5万公里', '5.00万', '9.40万')
('众泰大迈X7 2018款 上进版 1.8T DCT荣耀版', 'https://image.guazistatic.com/gz01180428/10/40/9f35a4fdd9177f51fff8977c0dadbe22.jpg', '2016年', '13.50万', '16.50万')
('众泰T700 2017款 1.8T 双离合尊贵型', 'https://image.guazistatic.com/gz01180520/11/37/abb769f8836bbdbbd10ebe3b7635d03e.jpg', '5.0万公里', '12.00万', '15.20万')
('众泰T600 2016款 2.0T 自动尊贵型', 'https://image1.guazistatic.com/qn180312075542f2f97370467ce9b2a4c174e1a0d961ee.jpg', '2015年', '6.00万', '13.70万')
('众泰SR7 2016款 1.5T CVT魔方之梦版 国V', 'https://image1.guazistatic.com/qn180412102146725d8743ccd10dee37866c5e77efa598.jpg', '5.1万公里', '7.98万', '12.80万')
('众泰 大迈X5 2017款 升级版 1.5T 手动尊贵型', 'https://image1.guazistatic.com/qn180607074818b9251d7527535cd7c6b5320ac430f6ec.jpg', '2018年', '5.50万', '10.00万')
('众泰大迈X7 2017款 1.8T DCT尊贵型', 'https://image.guazistatic.com/gz01180420/14/04/2ebdd761f95660d6fd7e12c0d5179227.jpg', '0.8万公里', '10.00万', '14.40万')
('众泰SR9 2017款 2.0T 手动极致之路版', 'https://image1.guazistatic.com/qn1710202037480c8e3acd71a4456dbd749b8ec38a08d7.jpg', '2017年', '8.20万', '12.90万')
('众泰E200 2016款 三门两座科技版', 'https://image.guazistatic.com/gz01180520/19/00/e464767fafe6faae59875abeafe66531.jpg', '2.9万公里', '4.50万', '19.70万')
('众泰SR7 2016款 1.5T CVT魔方之心版 国V', 'https://image1.guazistatic.com/qn17121202291441164988d741be1b102397ecc54608ba.jpg', '2016年', '8.50万', '11.70万')
('众泰大迈X7 2017款 1.8T DCT豪华型', 'https://image1.guazistatic.com/qn18041623384566cb15c254983717e4bc2c735d9ca4f9.jpg', '6.2万公里', '10.30万', '13.60万')
('众泰T700 2017款 1.8T 双离合尊享型', 'https://image1.guazistatic.com/qn180707084138ce52cc506274e989468ca3765cfbb70a.jpg', '2017年', '9.88万', '14.10万')
('众泰 大迈X5 2015款 1.5T CVT地主型 国V', 'https://image1.guazistatic.com/qn18070608265755907560cf62e34f1df64f59cbbc56c8.jpg', '3.8万公里', '6.00万', '10.20万')
('众泰SR9 2017款 2.0T 自动极致之光版', 'https://image.guazistatic.com/gz01180626/12/10/26e4350f4cde237039173037a0a931b8.jpg', '2016年', '10.68万', '15.40万')
('众泰大迈X5 2017款 升级版 1.5T 手动豪华型', 'https://image.guazistatic.com/gz01180415/15/04/90ad3075ff8b10ac956ab8ef505054f1.jpg', '3.7万公里', '5.68万', '9.20万')
('众泰T600 2015款 1.5T 手动精英型', 'https://image1.guazistatic.com/qn170710192742bbb7d95bfd171b08942c786c0af6d38e.jpg', '2017年', '6.00万', '8.70万')
('众泰SR9 2017款 2.0T 自动极致之梦版', 'https://image.guazistatic.com/gz01180614/09/53/d7cdfabed265ac657163969827af6bec.jpg', '1.2万公里', '11.00万', '17.60万')
('众泰T600 2016款 运动版 2.0T 自动尊贵型', 'https://image1.guazistatic.com/qn180318141938c7cbc21911abee7102f26431f97a8a47.jpg', '2017年', '11.50万', '15.20万')
('众泰SR7 2016款 1.5T CVT魔方之梦版 国V', 'https://image1.guazistatic.com/qn17122201350197dccf0a46e8c469167cf74053fd599a.jpg', '1.2万公里', '7.50万', '12.80万')
('众泰SR9 2017款 2.0T 自动极致之路版', 'https://image.guazistatic.com/gz01180509/15/47/8fb915cbb15ac2e7a7e3931eb8a19d81.jpg', '2016年', '7.90万', '14.30万')
('众泰T500 2018款 1.5T 自动尊享型', 'https://image.guazistatic.com/gz01180520/16/01/a917dfdcb1247964a5adead414e5c400.jpg', '1.8万公里', '7.76万', '10.80万')
('众泰T600 2015款 2.0T 自动豪华型', 'https://image1.guazistatic.com/qn171228180104f8fa4fb26a6e21511f25b950c20b0f76.jpg', '2016年', '6.20万', '12.60万')
('众泰T600 2015款 1.5T 手动豪华型', 'https://image1.guazistatic.com/qn17122316401076dc92ee972c4844aed5b4a013226ed8.jpg', '1.1万公里', '5.50万', '9.40万')
('众泰SR9 2017款 2.0T 自动极致之梦版', 'https://image.guazistatic.com/gz01180629/13/11/cecfcaa20d5e33d342f366e5cc26a392.jpg', '2017年', '10.50万', '17.60万')
('众泰大迈X5 2017款 升级版 1.5T 手动豪华型', 'https://image1.guazistatic.com/qn170925122850e905b350222372c0fb1d765df646e282.jpg', '1.8万公里', '6.90万', '9.20万')
('众泰T500 2018款 1.5T 自动尊享型', 'https://image1.guazistatic.com/qn180705111713dd8d692e24b5f2653cbe60dd5e5d2f3a.jpg', '2017年', '8.50万', '10.80万')
('众泰T600 Coupe 2017款 1.5T 手动尊享型', 'https://image1.guazistatic.com/qn1806131048414cd2169b7353a4a157b4289ac34cdb86.jpg', '2.0万公里', '7.00万', '10.40万')
('众泰T600 2015款 2.0T 自动豪华型', 'https://image1.guazistatic.com/qn17113009372727121006c28bbdddf0c07a1200782298.jpg', '2016年', '7.00万', '12.60万')
('众泰T600 2016款 1.5T 手动尊贵型', 'https://image.guazistatic.com/gz01180622/16/34/1c3702e3a07b19a94813e3238a6690d9.jpg', '2016年', '5.38万', '10.70万')
