('保时捷Boxster 2011款 Boxster Black Edition 2.9L', 'https://image.guazistatic.com/gz01180704/17/40/5c833476bbbf9c8f12239f2fe7b8b434.jpg', '2011年', '33.00万', '89.10万')
('保时捷Panamera 2010款 Panamera 4 3.6L', 'https://image1.guazistatic.com/qn180518194426c7388840ba6fe7ad5f567b67076026c3.jpg', '6.6万公里', '42.00万', '135.90万')
('保时捷Macan 2016款 Macan 2.0T', 'https://image1.guazistatic.com/qn180112103723e12294bbfc31fa089780eb775a84ce28.jpg', '2010年', '49.50万', '60.60万')
('保时捷Macan 2017款 Macan 2.0T', 'https://image1.guazistatic.com/qn1804171912042d1084d4b1dd7b5b9e13ffb6b20eb3d9.jpg', '2016年', '50.50万', '59.70万')
('保时捷911 2010款 Carrera 3.6L', 'https://image1.guazistatic.com/qn180517100828dd414d2efeded927f5ec0ae61d945aba.jpg', '12.1万公里', '48.00万', '154.60万')
('保时捷Macan 2017款 Macan 2.0T', 'https://image1.guazistatic.com/qn171219102635cc17a61b3f19d1b6d4cd817102b5240d.jpg', '4.2万公里', '63.00万', '107.20万')
('保时捷Boxster 2013款 Boxster S 3.4L', 'https://image.guazistatic.com/gz01180411/16/46/9e4f8d3e77035be0910a40dcea0bfb4a.jpg', '2016年', '63.10万', '105.30万')
('保时捷Macan 2014款 Macan Turbo 3.6T', 'https://image1.guazistatic.com/qn18071205051501e1860dd31bf7cefdf28c7e1c9b8e03.jpg', '2017年', '82.00万', '167.40万')
('保时捷Cayenne 2014款 3.6自动（美规）', 'https://image1.guazistatic.com/qn180516234910a391649ca0a284d9b26e212f0a0d9931.jpg', '2.0万公里', '62.00万', '78.90万')
('保时捷Cayenne 2011款 Cayenne S 4.8L', 'https://image.guazistatic.com/gz01180419/10/55/63a514974f8138b2c76c27b7165026e8.jpg', '0.4万公里', '60.00万', '96.40万')
('保时捷718 2016款 Boxster 2.0T', 'https://image.guazistatic.com/gz01180602/14/29/ae2a743d701198a75e4f4ee5ba18b1ca.jpg', '2011年', '69.00万', '125.20万')
('保时捷Cayenne 2016款 Cayenne 3.0T', 'https://image1.guazistatic.com/qn180708113200448b07a14086d9a03cf293721c509ee9.jpg', '2014年', '80.00万', '125.20万')
('保时捷Cayman 2013款 Cayman 2.7L', 'https://image1.guazistatic.com/qn180703173001e0dcc0f4ff7f8b18cb759c5be020d575.jpg', '3.9万公里', '42.00万', '78.90万')
('保时捷Panamera 2010款 Panamera 3.6L', 'https://image1.guazistatic.com/qn180311021854c8c16ee946dd387340e10877ff864b49.jpg', '4.2万公里', '62.00万', '60.60万')
('保时捷Panamera 2010款 Panamera 3.6L', 'https://image.guazistatic.com/gz01180410/15/09/08387365273101edae180d890dbe1830.jpg', '2015年', '47.00万', '59.70万')
('保时捷Macan 2014款 Macan 2.0T', 'https://image.guazistatic.com/gz01180629/15/43/4f16066854b78c642e4da6bf7ff9e7b3.jpg', '2011年', '46.80万', '100.10万')
