('哈弗H2 2015款 1.5T 自动两驱精英版', 'https://image.guazistatic.com/gz01180329/15/23/542bfed598c16e92ad721bc07322577b.jpg', '2015年', '7.50万', '12.70万')
('哈弗H6 Coupe 2016款 蓝标 1.5T 自动两驱精英型', 'https://image1.guazistatic.com/qn180702064554e0663be8e82ad6b9e2a0c6042d36534e.jpg', '12.6万公里', '9.60万', '13.60万')
('哈弗H6 2017款 红标 运动版 1.5T 自动两驱豪华型', 'https://image1.guazistatic.com/qn1806210229181a7304bdcd1e6bf6da282af8c51b9721.jpg', '2017年', '9.30万', '13.00万')
('哈弗H6 2015款 运动版 1.5T 自动两驱豪华型', 'https://image.guazistatic.com/gz01180409/19/47/0da7389bcb0ee1f0636617651cbf345d.jpg', '2015年', '7.98万', '14.80万')
('哈弗H6 2014款 运动版 2.4L 自动尊贵型', 'https://image1.guazistatic.com/qn1703291312185d7b9994c69ced17d2197542c44b2413.jpg', '3.8万公里', '7.80万', '15.90万')
('哈弗H2 2014款 1.5T 手动两驱精英版', 'https://image.guazistatic.com/gz01180513/15/08/a4f57044e0d6163fc03d9c267eb9a243.jpg', '2016年', '7.00万', '11.30万')
('哈弗H6 2017款 换代 红标 1.5T 自动两驱风尚型', 'https://image.guazistatic.com/gz01180702/16/04/001c0cf15adb77b1ebbca0a957113670.jpg', '3.7万公里', '11.00万', '13.70万')
('哈弗H6 2016款 升级版 1.5T 自动两驱精英型', 'https://image.guazistatic.com/gz01180619/15/12/f15bd9b301320304e59043ef9b455ca8.jpg', '2.5万公里', '8.18万', '12.40万')
('哈弗H6 2015款 升级版 1.5T 手动两驱精英型', 'https://image1.guazistatic.com/qn1806090032292b61b8943bfbdc36c9075021cb68d24a.jpg', '2015年', '7.00万', '11.90万')
('哈弗H7 2016款 蓝标H7 2.0T 自动豪华型', 'https://image.guazistatic.com/gz01180630/13/41/f66087108fa658e13a6df193be0ba7aa.jpg', '2018年', '12.00万', '17.30万')
('哈弗H6 Coupe 2016款 蓝标 1.5T 自动两驱精英型', 'https://image.guazistatic.com/gz01180614/09/49/e1ec2be69bfd0b98351c041bc92d45c0.jpg', '2014年', '10.80万', '13.60万')
('哈弗H6 2014款 运动版 2.4L 自动尊贵型', 'https://image.guazistatic.com/gz01180520/17/57/50e5a757527ef7a67f55b0bd7c78fc64.jpg', '0.9万公里', '6.80万', '15.90万')
('哈弗H6 2015款 升级版 1.5T 手动两驱精英型', 'https://image1.guazistatic.com/qn1805101527244d9581ae86a92230c58bd9de1f9482fa.jpg', '5.0万公里', '6.80万', '11.90万')
('哈弗H6 2015款 运动版 1.5T 自动两驱豪华型', 'https://image1.guazistatic.com/qn18050112185840f037314ed00558cd960dc520751989.jpg', '5.5万公里', '8.78万', '14.80万')
('哈弗H6 2017款 红标 运动版 1.5T 自动两驱豪华型', 'https://image.guazistatic.com/gz01180426/15/34/84b397da24bd9a01bda7866b881ee8e5.jpg', '2015年', '9.30万', '13.00万')
('哈弗H6 2014款 运动版 2.0T 柴油 手动两驱精英型', 'https://image.guazistatic.com/gz01180425/16/59/9ad3dd4cce80ddd9371bb99889b070d8.jpg', '2017年', '8.50万', '15.60万')
('哈弗H6 2014款 运动版 1.5T 手动两驱精英型', 'https://image1.guazistatic.com/qn1803261104295b3c046ecf76bca76fcad7fb3ee3060b.jpg', '2015年', '6.50万', '14.00万')
('哈弗H6 2015款 运动版 1.5T 自动两驱豪华型', 'https://image.guazistatic.com/gz01180415/12/10/4edb85c4434e37137a60d64ade84d403.jpg', '4.6万公里', '9.85万', '14.80万')
('哈弗H6 Coupe 2016款 蓝标 1.5T 自动两驱都市型', 'https://image.guazistatic.com/gz01180629/11/42/8acc4d43915587ddf4fc327b5e051364.jpg', '3.8万公里', '8.80万', '12.90万')
('哈弗H6 2011款 绿静2.0T 手动两驱精英型', 'https://image1.guazistatic.com/qn18062206540393958e7f6d713e46de2d2156ec8d82d2.jpg', '5.0万公里', '4.60万', '14.30万')
('哈弗H6 2016款 升级版 1.5T 自动两驱精英型', 'https://image.guazistatic.com/gz01180601/12/48/cfc110cf4bc50ffc7aeb9684ddd7081e.jpg', '2016年', '8.00万', '12.40万')
('哈弗H6 2017款 换代 红标 2.0T 自动两驱智尚型', 'https://image1.guazistatic.com/qn180622024209e3d0470c1fa993a497eaebc2e27fc2ab.jpg', '2014年', '11.30万', '15.20万')
('哈弗H1 2017款 红标 1.5L AMT豪华型', 'https://image.guazistatic.com/gz01180624/13/41/53c36a7e013400b88fa8feb16d4de88c.jpg', '2016年', '5.50万', '7.40万')
('哈弗H7 2017款 红标H7 2.0T 自动豪华型', 'https://image1.guazistatic.com/qn180514151843b9f2b0b5753f5e65f95289ceb9d60ea6.jpg', '2.0万公里', '14.30万', '17.70万')
('哈弗H7 2017款 蓝标H7L 2.0T 自动豪华型', 'https://image1.guazistatic.com/qn180314153958e249bb13e5c36fc915606f5fed84dc65.jpg', '7.5万公里', '17.50万', '18.50万')
('哈弗H6 2014款 升级版 1.5T 手动两驱精英型', 'https://image.guazistatic.com/gz01180402/18/48/c386a56cae83889736d6aeb672b92458.jpg', '2014年', '6.50万', '13.00万')
('哈弗H6 2015款 升级版 1.5T 手动两驱精英型', 'https://image.guazistatic.com/gz01180620/16/31/a2c9b4dea8b8a69fe4381020a1036066.jpg', '2.8万公里', '7.00万', '11.90万')
('哈弗H5 2015款 2.0T 手动两驱进取型', 'https://image.guazistatic.com/gz01180524/14/45/1f621fb4344065e791ebacf7104fee93.jpg', '2015年', '6.00万', '11.20万')
('哈弗H6 Coupe 2016款 蓝标 1.5T 自动两驱精英型', 'https://image1.guazistatic.com/qn180518131848ac9a85891b82b4559860aa4967b9b4a1.jpg', '2015年', '9.00万', '13.60万')
('哈弗H6 Coupe 2015款 蓝标 2.0T 自动两驱尊贵型', 'https://image1.guazistatic.com/qn17081716220050f5a1ebfb4ba7b71c0da65abf31537f.jpg', '2018年', '11.00万', '18.60万')
('哈弗H6 2014款 运动版 1.5T 手动四驱精英型', 'https://image.guazistatic.com/gz01180615/16/10/78de0544d98a94613616cf986b1af94e.jpg', '4.3万公里', '6.23万', '14.80万')
('哈弗H2 2014款 1.5T 手动两驱精英版', 'https://image1.guazistatic.com/qn1805230312228ea8c5c33a6fff303b9469cbe8463f27.jpg', '3.5万公里', '6.60万', '11.30万')
('哈弗H2 2014款 1.5T 手动两驱尊贵版', 'https://image.guazistatic.com/gz01180529/18/34/a9552ab6dd9b229b1a72a1c7d93dc16d.jpg', '1.7万公里', '6.50万', '12.20万')
('哈弗H6 2015款 运动版 1.5T 自动两驱豪华型', 'https://image.guazistatic.com/gz01180701/11/22/1e782637da6d28d53fc7203b68fb4874.jpg', '2014年', '8.00万', '14.80万')
('哈弗H6 2014款 运动版 1.5T 手动两驱精英型', 'https://image.guazistatic.com/gz01180703/11/42/cd73d31f400e29b07c1553846fc6259f.jpg', '2016年', '6.20万', '14.00万')
('哈弗H6 2014款 运动版 2.4L 自动精英型', 'https://image1.guazistatic.com/qn180408115714eca2e74775091b96c7a2171af9e9cede.jpg', '7.5万公里', '7.20万', '14.80万')
('哈弗H6 2013款 升级版 1.5T 手动两驱精英型', 'https://image1.guazistatic.com/qn1711101427585bd34c4f88a4470f1747ac5dbe95201f.jpg', '2014年', '6.10万', '12.60万')
