('长安睿骋CC 2018款 1.5T 自动智雅型', 'https://image.guazistatic.com/gz01180624/15/04/2dea4cbc45584a56ab74549371d2cd4d.jpg', '2018年', '11.20万', '14.00万')
('长安 凌轩 2017款 1.6L 手动幸福型', 'https://image1.guazistatic.com/qn180707230003d1bf681f4544c6a0d953774a9871aff9.jpg', '1.3万公里', '5.60万', '7.90万')
('长安 悦翔V7 2015款 1.6L 自动乐享型 国V', 'https://image.guazistatic.com/gz01180601/12/11/87a372e00d8a0618ef1c95c2d36eccae.jpg', '2017年', '5.10万', '8.80万')
('长安睿骋 2014款 1.8T 自动尊贵周年版 国IV', 'https://image1.guazistatic.com/qn171003110414efced02233447378529839d1467b86be.jpg', '1.2万公里', '6.70万', '16.30万')
('长安CS15 2016款 1.5L 手动时尚版', 'https://image1.guazistatic.com/qn1712301328199ff5c9f03d34a3a139b4a27516efbdaa.jpg', '2015年', '4.20万', '6.50万')
('长安逸动 2016款 1.6L 自动风尚型', 'https://image1.guazistatic.com/qn180313172947ed8af1eb0e9443d4d91060fe3f8f5ec5.jpg', '2.0万公里', '6.70万', '8.60万')
('长安逸动 2016款 1.6L 手动风尚型', 'https://image1.guazistatic.com/qn18041901363858256bf6fc6fe5c8bf356408bd5f33ef.jpg', '2015年', '5.40万', '7.60万')
('长安睿骋 2014款 1.8T 自动精英周年版 国IV', 'https://image1.guazistatic.com/qn171119123928fc2255b1335f06321e3931124ac3eb01.jpg', '3.7万公里', '7.50万', '14.10万')
('长安CS75 2014款 1.8T 自动精英型 国IV', 'https://image1.guazistatic.com/qn1805281636267348507eb466e3c3d24ced650dd3de10.jpg', '2016年', '7.60万', '14.70万')
('长安 逸动 2013款 XT 1.5T 自动炫酷型', 'https://image.guazistatic.com/gz01180524/19/40/0872df0bc47a54e6561363f5c97c72da.jpg', '1.5万公里', '5.50万', '11.90万')
('长安 逸动 2012款 1.6L 自动豪华型 国IV', 'https://image1.guazistatic.com/qn180622164510498cafbc7e09c3bae3f3e438b7eaed25.jpg', '2017年', '4.50万', '9.60万')
('长安悦翔 2009款 三厢 1.5L 手动尊贵型', 'https://image1.guazistatic.com/qn1806190830196e3867fb1115d388d3db8efa77a88105.jpg', '1.2万公里', '1.80万', '6.70万')
('长安CS35 2015款 1.6L 手动尊贵型 国V', 'https://image1.guazistatic.com/qn180627040758fcb6cf58564759bd0f8fcecd46a220c1.jpg', '2016年', '4.59万', '9.60万')
('长安奔奔 2015款 1.4L IMT尊贵型 国V', 'https://image.guazistatic.com/gz01180328/14/43/277ad7f64eba89c66fc124a8ae4ebce2.jpg', '1.7万公里', '3.99万', '5.90万')
('长安 凌轩 2017款 1.6L 手动幸福型', 'https://image1.guazistatic.com/qn180616210412b774729af007c697274fb07b0b094142.jpg', '2017年', '6.00万', '7.90万')
('长安逸动 2015款 XT 1.6L 自动俊酷型 国V', 'https://image1.guazistatic.com/qn180322193011f881c2f3723dcc96c059275e0df49844.jpg', '2015年', '6.10万', '10.10万')
('长安逸动 2018款 1.6L GDI 自动时尚型', 'https://image.guazistatic.com/gz01180709/12/18/d673b443ea536b310a615979a75e3d98.jpg', '0.9万公里', '7.40万', '10.00万')
('长安逸动 2015款 1.6L 手动豪华型 国V', 'https://image.guazistatic.com/gz01180409/15/13/b081fd895758d48e3c8bd394bd5c05ca.jpg', '2.6万公里', '4.58万', '8.80万')
('长安 逸动 2016款 XT 1.6L 自动俊酷型', 'https://image1.guazistatic.com/qn1807101353078a2d5b9d9698db3b6df2c1af2f3194f8.jpg', '2015年', '6.10万', '8.90万')
('长安CS75 2014款 2.0L 手动豪华型 国V', 'https://image1.guazistatic.com/qn180710234731a53b2e9b919b32857cdda03c344279a7.jpg', '2015年', '6.50万', '12.90万')
('长安CS75 2014款 2.0L 手动领先型 国V', 'https://image1.guazistatic.com/qn180701115331c05d937d0cb578c2fefc1d7683ed285d.jpg', '4.4万公里', '6.50万', '13.80万')
('长安CX20 1.3L 自动运动版', 'https://image1.guazistatic.com/qn180705155801f77bc8e105fd2db54a4d22a925094074.jpg', '7.5万公里', '2.77万', '6.90万')
('长安CS35 2014款 1.6L 手动豪华导航型 国IV', 'https://image.guazistatic.com/gz01180611/18/09/9ec0af686af1af5d56914114cec29f17.jpg', '2014年', '3.68万', '9.30万')
('长安CS15 2016款 1.5L 手动时尚版', 'https://image1.guazistatic.com/qn1807061145149a7ae03cf9af0ab8202159a9a2f9ca56.jpg', '2015年', '4.10万', '6.50万')
('长安逸动 2013款 XT 1.6L 手动致酷型 国IV', 'https://image1.guazistatic.com/qn1803231107383a42cd3ea05a532ae9ecf387f40eb213.jpg', '6.5万公里', '3.80万', '9.50万')
('长安CS75 2017款 尚酷版 1.5T 手动锋享型', 'https://image.guazistatic.com/gz01180415/13/22/5d9c143329b0a28bab08ca870dc956d9.jpg', '4.5万公里', '9.50万', '11.20万')
('长安逸动 2016款 XT 1.6L 自动俊酷型', 'https://image1.guazistatic.com/qn1710281438098176abf141d7aa805780300de2a4b71c.jpg', '2013年', '7.30万', '8.90万')
('长安CS75 2016款 2.0L 手动豪华型 国V', 'https://image1.guazistatic.com/qn180526185824c17d9121d5869e6388217afd00f56c2f.jpg', '2012年', '9.00万', '10.70万')
('长安CS75 2016款 1.8T 自动精英型 国IV', 'https://image1.guazistatic.com/qn1803030958044b3e997caa34bfc771ea9b74bf7bbf03.jpg', '5.7万公里', '8.30万', '14.10万')
('长安 悦翔V5 2012款 1.5L 手动梦幻型', 'https://image.guazistatic.com/gz01180624/15/21/aa3ae8c26b8e2759ba5b86f746284b3a.jpg', '2.9万公里', '2.50万', '6.70万')
('长安CS75 2017款 尚酷版 1.5T 自动锋悦型', 'https://image1.guazistatic.com/qn1807121124163d4e2ebb5589dc4cb70492467b04e919.jpg', '2012年', '8.50万', '12.40万')
('长安CS75 2014款 1.8T 自动时尚型 国IV', 'https://image.guazistatic.com/gz01180626/12/14/0d3ab00809c026c210b40288dc86554c.jpg', '2016年', '10.00万', '14.00万')
('长安 逸动 2016款 XT 1.6L 自动俊酷型', 'https://image1.guazistatic.com/qn1807111523367c0e4292cf75fec1bd56b0ebbb24af82.jpg', '4.7万公里', '5.50万', '8.90万')
('长安CS75 2014款 2.0L 手动领先型 国V', 'https://image1.guazistatic.com/qn1803021009293dcc7d007ae7deae4fa774004fdb1061.jpg', '3.1万公里', '7.00万', '13.80万')
('长安CS75 2014款 2.0L 手动豪华型 国V', 'https://image1.guazistatic.com/qn170712161757c0978730b21e95dd184593312d1a39c8.jpg', '2016年', '8.00万', '12.90万')
('长安CS75 2014款 1.8T 自动精英型 国V', 'https://image.guazistatic.com/gz01180417/19/44/ce0320a70843bf97dcc41989b641da61.jpg', '2017年', '8.30万', '14.80万')
('长安CS35 2016款 1.6L 手动豪华型 国V', 'https://image.guazistatic.com/gz01180703/10/12/766bcbe1c85ce34cba2c7e0ba917b2c0.jpg', '3.0万公里', '4.90万', '9.10万')
('长安CS75 2014款 1.8T 自动精英型 国V', 'https://image.guazistatic.com/gz01180528/13/13/b5f7ade20cba755d09ee7363c24f857c.jpg', '1.0万公里', '7.50万', '14.80万')
('长安 悦翔V7 2015款 1.6L 手动乐趣型 国V', 'https://image.guazistatic.com/gz01180529/13/24/6c41ad62b30800e14ad8fac1810fcce2.jpg', '2016年', '4.50万', '8.50万')
('长安CS35 2015款 1.6L 自动豪华型 国V', 'https://image1.guazistatic.com/qn18060712254254fae347403f52f3932cf6dc86f4d75d.jpg', '2017年', '5.80万', '10.20万')
('长安CS75 2014款 1.8T 自动精英型 国IV', 'https://image1.guazistatic.com/qn1806281442192acfb98ac42902df271adae9fcc7779b.jpg', '1.7万公里', '7.80万', '14.70万')
('长安CS75 2016款 1.8T 自动精英型 国V', 'https://image1.guazistatic.com/qn180607002840637d1d8eda5aab58a9870f8ad406eb48.jpg', '1.1万公里', '9.30万', '12.70万')
('长安逸动 2016款 XT 1.6L 自动俊酷型', 'https://image1.guazistatic.com/qn1805141111186d7f0926a9f661b1fa9e3ab1c324e095.jpg', '2016年', '6.18万', '8.90万')
('长安 悦翔V7 2016款 1.6L 手动乐尚型 国V', 'https://image.guazistatic.com/gz01180622/11/21/53418d79bcc6e063c15149d1fcccd2ab.jpg', '2014年', '3.95万', '6.00万')
('长安CS75 2014款 1.8T 自动精英型 国V', 'https://image1.guazistatic.com/qn18031200243709757505ec23c1717963bacc953f3d6b.jpg', '3.7万公里', '8.20万', '14.80万')
('长安逸动 2015款 1.6L 手动豪华型 国V', 'https://image1.guazistatic.com/qn180508113255e7821fd8e2add1c4d19fb74289edd859.jpg', '5.9万公里', '5.20万', '8.80万')
('长安逸动 2014款 1.6L 手动豪华型', 'https://image1.guazistatic.com/qn180320153229a7775931c1215119e4143f25e2a8a646.jpg', '2018年', '4.15万', '8.70万')
('长安 逸动 2012款 1.6L 手动豪华型 国IV', 'https://image1.guazistatic.com/qn1805301501301b57e4ed84ef652eb4f9254be8355129.jpg', '2015年', '4.50万', '8.70万')
('长安逸动 2015款 1.6L 手动豪华型 国V', 'https://image1.guazistatic.com/qn171120131846f3a8976485d0cadc3304b90f103a7d6d.jpg', '0.4万公里', '5.00万', '8.80万')
('长安CS75 2014款 1.8T 自动精英型 国IV', 'https://image.guazistatic.com/gz01180621/11/33/b2b24dfde41369d52cbc712e9a67768c.jpg', '5.7万公里', '9.50万', '14.70万')
('长安CS75 2014款 2.0L 手动豪华型 国V', 'https://image1.guazistatic.com/qn18031311010129f38b23e138f982393dbb091a8b2b1c.jpg', '2017年', '7.30万', '12.90万')
('长安CS35 2014款 1.6L 手动豪华型 国IV', 'https://image1.guazistatic.com/qn18011219133000f36efcce22f7b92330de44deb921e9.jpg', '2015年', '5.00万', '9.00万')
('长安逸动 2015款 1.6L 自动豪华型', 'https://image1.guazistatic.com/qn1709011309095b264045b992d007251001b97bf419cf.jpg', '1.0万公里', '5.60万', '9.60万')
('长安CS35 2014款 1.6L 手动豪华导航型 国V', 'https://image1.guazistatic.com/qn18012619222360668ffad760155536e60c8b982c619c.jpg', '1.7万公里', '4.90万', '9.40万')
('长安CS75 2015款 1.8T 自动四驱精英型 国V', 'https://image1.guazistatic.com/qn180703084854143fc3583506fc78972fe1459b9dc8c5.jpg', '2015年', '8.50万', '14.20万')
('长安CS35 2014款 1.6L 手动豪华型 国IV', 'https://image1.guazistatic.com/qn180122210029216c2ee6c082dfa1b22b2e7b10e8edd5.jpg', '2015年', '4.27万', '9.00万')
('长安CS75 2014款 1.8T 自动精英型 国V', 'https://image.guazistatic.com/gz01180608/14/31/d5988f3532728c9acc0b00a4edc6129b.jpg', '5.6万公里', '8.70万', '14.80万')
('长安逸动 2015款 1.6L 自动旗舰型', 'https://image1.guazistatic.com/qn1805151151521614f5606d8a90dc6ff526daea19235e.jpg', '3.0万公里', '4.85万', '10.50万')
('长安 逸动 2015款 1.6L 手动豪华型 国V', 'https://image.guazistatic.com/gz01180602/14/42/cc17e0b38d4563a7fe4422f87b718304.jpg', '2014年', '4.60万', '8.80万')
('长安CS75 2014款 1.8T 自动精英型 国V', 'https://image1.guazistatic.com/qn180702154357c7848ba455c03858d1ce5b4a5e63f177.jpg', '2015年', '8.50万', '14.80万')
('长安CS75 2014款 1.8T 自动精英型 国V', 'https://image.guazistatic.com/gz01180621/11/14/7148a0e4aa197aa70c76d5b9fb432637.jpg', '7.3万公里', '6.35万', '14.80万')
