('奔驰A级 2015款 A 200 运动型(进口)', 'https://image1.guazistatic.com/qn18051600033341da28c951fc9f4ee3bef904f9f400e5.jpg', '2015年', '18.00万', '32.20万')
('奔驰GL级 2014款 GL 400 4MATIC动感型(进口)', 'https://image1.guazistatic.com/qn180118153621ec9112d77d2a5f475748ab5ca1beacbb.jpg', '7.3万公里', '67.00万', '119.20万')
('奔驰A级AMG 2014款 AMG A 45 4MATIC', 'https://image1.guazistatic.com/qn1806032024191e9e6f9e26d10507d1c829ca1bbcc4ca.jpg', '2014年', '38.80万', '54.10万')
('奔驰CLA级 2016款 改款 CLA 220 4MATIC(进口)', 'https://image.guazistatic.com/gz01180420/16/35/a2fb00afe6d2f5d5c91ac4df23712045.jpg', '8.9万公里', '27.00万', '34.60万')
('奔驰C级 2010款 C 200 CGI旅行版(进口)', 'https://image.guazistatic.com/gz01180531/14/23/626f2992bf7eba14c80b2b00005e84bc.jpg', '2016年', '16.80万', '46.70万')
('奔驰C级AMG 2009款 AMG C 63 动感型', 'https://image.guazistatic.com/gz01180606/14/39/435f87bd1e851871189be6db9fdcb8bd.jpg', '6.0万公里', '33.00万', '108.30万')
('奔驰CLS级 2017款 CLS 260逸彩版(进口)', 'https://image.guazistatic.com/gz01180620/14/39/d216d8d5cacb8bf464c1707da09adf27.jpg', '2016年', '60.00万', '70.40万')
('奔驰S级 2010款 S 400 L HYBRID(进口)', 'https://image.guazistatic.com/gz01180523/16/57/1bac889ea30ca56605745568443c6311.jpg', '2.6万公里', '38.60万', '158.30万')
('奔驰C级 2016款 C 180 L 运动型', 'https://image1.guazistatic.com/qn180711093902d90c5f4d283ced966f7c0f50444921bc.jpg', '2011年', '25.50万', '35.40万')
('奔驰GLK级 2013款 GLK 300 4MATIC 动感型', 'https://image1.guazistatic.com/qn18022707261564e9860ef02d9ead896b19a21f115bae.jpg', '16.2万公里', '24.60万', '45.40万')
('奔驰GL级 2011款 GL 450 4MATIC尊贵型(进口)', 'https://image1.guazistatic.com/qn180711032841ae556a657604a0928ed2de1e43d5cc62.jpg', '2010年', '51.00万', '173.50万')
