('东风风行 菱智 2018款 M3 1.5L 5座基本型', 'https://image.guazistatic.com/gz01180613/14/02/453b4560248824e0b5a416b0faf145e2.jpg', '2018年', '4.90万', '6.10万')
('东风风行菱智 2017款 M5L 1.6L 7座标准型', 'https://image1.guazistatic.com/qn1803070307535d47888f958a77b8b088f9106c55d0fc.jpg', '1.1万公里', '6.30万', '7.90万')
('东风风行风行F600 2016款 F600L 1.5T 豪华型', 'https://image1.guazistatic.com/qn180224030459243587677814960889ddfd69a3b787c3.jpg', '2017年', '7.20万', '11.30万')
('东风风行风行F600 2016款 F600 1.5T 豪华型', 'https://image.guazistatic.com/gz01180510/15/39/cedce36ab8d664b60b975b9b0fe6fbcb.jpg', '1.1万公里', '8.80万', '10.80万')
('东风风行 风行SX6 2016款 1.6L 手动豪华型', 'https://image1.guazistatic.com/qn18061312544093745b2e64d7c771bb76892a46cff93d.jpg', '2016年', '6.30万', '8.60万')
('东风风行景逸X5 2017款 劲享系列 1.5T CVT尊享型', 'https://image1.guazistatic.com/qn180504112533b629139abe0e8512314618555306a761.jpg', '1.6万公里', '8.50万', '11.90万')
('东风风行风行SX6 2016款 1.6L CVT豪华型', 'https://image1.guazistatic.com/qn180424123839bcd528757b7d93a397584c87722fc677.jpg', '2016年', '6.80万', '9.90万')
('东风风行 菱智 2018款 M5L 2.0L 7座舒适型', 'https://image1.guazistatic.com/qn180615143601f53c3ddeeaa527b9eea973398339a2f9.jpg', '3.0万公里', '7.90万', '9.20万')
('东风风行景逸X3 2014款 1.5L 豪华型', 'https://image1.guazistatic.com/qn180430172346998b78fbde1d91964bfe59d5ba0b76e9.jpg', '2016年', '3.00万', '7.90万')
('东风风行菱智 2013款 M3 1.6L 7座舒适型', 'https://image.guazistatic.com/gz01180519/17/24/634d958fa160f8b7011f9a7f32731b92.jpg', '1.7万公里', '3.30万', '7.80万')
('东风风行风行S500 2016款 1.6L CVT尊享型', 'https://image1.guazistatic.com/qn180313120519855b69e542f63bf5be16efd25e5317dd.jpg', '2017年', '6.30万', '10.10万')
('东风风行 菱智 2018款 V3L 1.6L 5座物流版', 'https://image1.guazistatic.com/qn1806230001263ee23154f302eea1be7e94cea3b23d2e.jpg', '1.1万公里', '6.00万', '6.60万')
('东风风行 风行CM7 2016款 2.0T 自动豪华型', 'https://image.guazistatic.com/gz01180613/14/11/b1ba420868d331e0e310d7c14aadf5ce.jpg', '2016年', '11.80万', '18.10万')
('东风风行 风行S500 2016款 1.6L 手动尊享型', 'https://image.guazistatic.com/gz01180613/16/03/f77406ce79214c96a67cd18e7d1e063d.jpg', '2.8万公里', '4.40万', '8.70万')
('东风风行菱智 2016款 M3L 1.6L 7座舒适型', 'https://image.guazistatic.com/gz01180411/13/42/3759ec6402f7bda62952549887a792bf.jpg', '2018年', '5.20万', '7.50万')
('东风风行 景逸X5 2017款 1.6L 手动豪华型', 'https://image1.guazistatic.com/qn18062100344437c1f0948ca61f7f9dc5b7d4b34b971d.jpg', '0.5万公里', '6.25万', '9.60万')
('东风风行 菱智 2017款 V3 1.5L 7座舒适型', 'https://image1.guazistatic.com/qn1807080521578eaf184f364725a7f725a92d685d21a9.jpg', '2014年', '5.50万', '6.90万')
('东风风行菱智 2016款 M5 2.0L 7座长轴标准型', 'https://image1.guazistatic.com/qn180617074457ccb018e19bf5b71fe8a67959c1279a0f.jpg', '17.6万公里', '6.70万', '8.90万')
('东风风行景逸X5 2015款 1.6L 手动尊享型', 'https://image1.guazistatic.com/qn1803121831191e8cf416daaadb0e45e8bf74523a70c3.jpg', '2015年', '4.88万', '9.40万')
('东风风行 景逸X5 2016款 1.6L 手动豪华型', 'https://image1.guazistatic.com/qn1807061609409299dcb4b7664db68cb15c6219fa568b.jpg', '2014年', '4.90万', '8.70万')
('东风风行菱智 2015款 M5 Q7 2.0L 9座长轴舒适型', 'https://image1.guazistatic.com/qn17040221102031424db47d2f3a7d305307118fa3cb4b.jpg', '4.0万公里', '4.80万', '8.90万')
('东风风行 风行CM7 2016款 2.0T 手动豪华型', 'https://image1.guazistatic.com/qn180709154653d70b0c464d95f7c94681b4857ec4e63c.jpg', '6.7万公里', '8.00万', '16.30万')
('东风风行风行SX6 2016款 1.6L CVT尊享型', 'https://image.guazistatic.com/gz01180329/10/38/90de8bcea839f3b7c06a2da9c22c4d1a.jpg', '2015年', '7.50万', '11.20万')
('东风风行 景逸X5 2015款 1.6L 手动尊享型', 'https://image.guazistatic.com/gz01180703/11/56/be60473458782cf1fc14873dc7269fb2.jpg', '2016年', '5.00万', '9.40万')
('东风风行菱智 2016款 M3L 1.6L 9座舒适型', 'https://image1.guazistatic.com/qn1804240235110be2b5730e2352458c9c0d4744926ae5.jpg', '5.8万公里', '4.50万', '7.50万')
('东风风行景逸S50 2016款 1.6L CVT豪华型', 'https://image1.guazistatic.com/qn18013111561284fb727e216431aa26e60aa949dd11a2.jpg', '4.6万公里', '5.00万', '8.70万')
('东风风行 景逸XV 2016款 1.6L CVT豪华型', 'https://image1.guazistatic.com/qn180708110222628f19b29161e6ae7159e6d42244eb75.jpg', '2016年', '7.30万', '9.40万')
('东风风行 风行CM7 2016款 2.0T 手动豪华型', 'https://image1.guazistatic.com/qn1807121413522514a874f535bfc468b31638d6833e24.jpg', '2018年', '8.98万', '16.30万')
('东风风行 菱智 2010款 Q7 2.0L 7座创业版', 'https://image1.guazistatic.com/qn1805271657154ab557a1b4d650589d4d3bbf8654507c.jpg', '2009年', '2.50万', '10.60万')
('东风风行 景逸X5 2015款 1.8T 手动尊享型', 'https://image1.guazistatic.com/qn180710081642f055c07efcf9feea81d74113e5f805e4.jpg', '2.9万公里', '4.50万', '10.80万')
('东风风行 菱智 2016款 M3L 1.6L 7座舒适型', 'https://image1.guazistatic.com/qn180708211950a002a59874c4b9c0bffa988f3217fc0f.jpg', '0.1万公里', '4.00万', '7.50万')
('东风风行 菱智 2013款 M3 1.6L 7座标准型', 'https://image1.guazistatic.com/qn1806130353220b2d10b562e2cb12b3be617fa44217ef.jpg', '2016年', '3.00万', '7.30万')
('东风风行 景逸X5 2013款 1.8T 手动尊享型', 'https://image1.guazistatic.com/qn1805271104062db07f80efd4e4341c1b9ad7ba2b3444.jpg', '10.3万公里', '4.30万', '10.80万')
('东风风行 景逸X3 2014款 1.5L 尊享型', 'https://image1.guazistatic.com/qn180712125705f8033f886c3fbdaae3bcbfb64a968cc0.jpg', '4.9万公里', '3.85万', '8.50万')
('东风风行 菱智 2015款 M3 1.6L 7座舒适型', 'https://image.guazistatic.com/gz01180605/17/29/c859581e53c526fae7dc0a8947acb532.jpg', '2014年', '3.50万', '7.80万')
('东风风行 菱智 2015款 V3 1.6L 9座舒适型', 'https://image.guazistatic.com/gz01180620/20/27/dfd664459e2ad60949e6428c9cf339ab.jpg', '2017年', '4.30万', '7.30万')
('东风风行 菱智 2016款 M3L 1.6L 7座舒适型', 'https://image.guazistatic.com/gz01180623/13/53/f32ddda396efa2470853514d4239246f.jpg', '2017年', '4.05万', '7.50万')
('东风风行菱智 2016款 M3L 1.6L 9座舒适型', 'https://image.guazistatic.com/gz01180423/13/11/1cfaa3b1edd7dfaebf286249b7179192.jpg', '8.3万公里', '4.50万', '7.50万')
('东风风行 菱智 2016款 M3 1.6L 7座舒适型 国V', 'https://image.guazistatic.com/gz01180628/12/06/5fd069c098a37c12f5c346b9c872d187.jpg', '1.6万公里', '4.35万', '7.80万')
('东风风行景逸X5 2013款 1.6L 手动尊贵型', 'https://image.guazistatic.com/gz01180423/11/17/31d92342132a13f78611a3d4216c9b1a.jpg', '2015年', '3.60万', '10.10万')
('东风风行 菱智 2012款 乘用版 1.6L 舒适型', 'https://image.guazistatic.com/gz01180522/11/15/40a887071b6dff3240b8fcd4526c1a5e.jpg', '2015年', '2.30万', '7.60万')
('东风风行 风行S500 2016款 1.6L CVT尊享型', 'https://image1.guazistatic.com/qn18062117453197d6098697ad03ec71f2f6ea5fd80a18.jpg', '7.7万公里', '7.50万', '10.10万')
('东风风行 菱智 2010款 Q3 2.0L 9座标准版', 'https://image.guazistatic.com/gz01180520/15/23/5ca89dcf9c07e137a6df0e5f2bacacd1.jpg', '1.9万公里', '3.00万', '13.20万')
('东风风行景逸 2011款 1.5L AMT豪华型', 'https://image1.guazistatic.com/qn170526114816caccbcf148193dc402194ddf5081b508.jpg', '7.1万公里', '2.20万', '8.00万')
('东风风行 菱智 2016款 M3 1.6L 7座舒适型 国IV', 'https://image.guazistatic.com/gz01180617/16/46/25f9a19157806be4288755745a79fa54.jpg', '2013年', '5.40万', '7.80万')
('东风风行 菱智 2013款 M3 1.6L 7座标准型', 'https://image1.guazistatic.com/qn180712105435255e7b4a8139f494c954156db2dd7bd5.jpg', '2016年', '4.00万', '7.30万')
('东风风行景逸X5 2015款 1.6L 手动尊享型', 'https://image1.guazistatic.com/qn1805071647279aefcf836a56c4ec7687e1a212707812.jpg', '2015年', '5.70万', '9.40万')
('东风风行菱智 2015款 M5 Q7 2.0L 7座长轴舒适型', 'https://image1.guazistatic.com/qn171231125957d7f1b8d1cbbfecd5016125983e87d9c1.jpg', '8.0万公里', '4.60万', '8.90万')
('东风风行景逸 2011款 1.5L 手动旗舰型', 'https://image1.guazistatic.com/qn170820143932484f283144ebc12e02f9367d94003034.jpg', '2015年', '2.78万', '8.70万')
('东风风行菱智 2010款 2.0L CMV 4G63', 'https://image.guazistatic.com/gz01180503/09/38/39fc2249bb9b6d22203fcf48f058b2b8.jpg', '5.6万公里', '2.50万', '8.40万')
('东风风行 景逸 2010款 1.5L 手动标准型', 'https://image1.guazistatic.com/qn180604204641084e57177154d1e1dda775127d4fd119.jpg', '2013年', '2.18万', '6.50万')
('东风风行景逸X5 2013款 1.6L 手动尊享型 国IV', 'https://image1.guazistatic.com/qn17100715050689e71ec37ae538748973e22496491b56.jpg', '7.8万公里', '4.30万', '9.40万')
('东风风行 菱智 2013款 M5 Q3 2.0L 7座长轴舒适型', 'https://image.guazistatic.com/gz01180520/12/15/d018593c3a6861b99d9948fc4748f260.jpg', '3.1万公里', '3.90万', '10.80万')
('东风风行景逸X5 2015款 1.8T 手动旗舰型', 'https://image1.guazistatic.com/qn18050819441487567920da282f1094f265845217b1fc.jpg', '2015年', '6.20万', '11.80万')
('东风风行菱智 2014款 M5 Q3 2.0L 7座短轴豪华型', 'https://image1.guazistatic.com/qn1705231154223bae66aca829243302da34b955a9492a.jpg', '7.5万公里', '6.00万', '12.30万')
('东风风行 菱智 2015款 V3 1.6L 7座舒适型', 'https://image.guazistatic.com/gz01180602/10/32/99fb20a8a2caecebc450cba362d7056b.jpg', '2016年', '4.00万', '7.30万')
('东风风行风行S500 2016款 1.5L 手动舒适型', 'https://image1.guazistatic.com/qn1803241139386c8d724d35c97d11766f520a83b1b43e.jpg', '1.2万公里', '4.78万', '7.20万')
('东风风行 菱智 2013款 M3 1.6L 7座舒适型', 'https://image1.guazistatic.com/qn180706143619c805dcfbb6de0f6d6a5bbf219c1484e8.jpg', '6.5万公里', '4.00万', '7.80万')
('东风风行菱智 2016款 M3 1.6L 7座舒适型 国V', 'https://image1.guazistatic.com/qn170901115331a33abc9d74863ca8ee010eeac73a42a5.jpg', '2012年', '4.10万', '7.80万')
('东风风行 风行S500 2016款 1.6L 手动豪华型', 'https://image1.guazistatic.com/qn1807081240121062bc6b50b9ea40f043be1d4fad974b.jpg', '2011年', '4.20万', '8.20万')
('东风风行 菱智 2013款 M5 Q3 2.0L 7座长轴豪华型', 'https://image.guazistatic.com/gz01180619/11/44/4c2695269a3023549ac5612d5673a659.jpg', '9.8万公里', '5.60万', '11.60万')
('东风风行 菱智 2012款 乘用版 1.6L 舒适型', 'https://image1.guazistatic.com/qn180603131724fb5bbfccd6fd077ac7f3c7db777938e1.jpg', '6.0万公里', '2.80万', '7.60万')
('东风风行 菱智 2013款 M5 Q3 2.0L 9座长轴舒适型', 'https://image.guazistatic.com/gz01180622/10/03/37a6c9af9567420eff579115cbf6d558.jpg', '2017年', '4.16万', '10.80万')
('东风风行 菱智 2016款 M3 1.6L 7座豪华型 国V', 'https://image.guazistatic.com/gz01180605/18/05/830a9155b8522d3748fd5eddd812719e.jpg', '2.7万公里', '5.00万', '8.60万')
('东风风行 菱智 2013款 V3 1.5L 7座豪华型', 'https://image.guazistatic.com/gz01180626/10/55/668584fa9bca453bf89bbfae9c1277bb.jpg', '2016年', '3.00万', '7.00万')
('东风风行菱智 2015款 V3 1.5L 7座豪华型', 'https://image1.guazistatic.com/qn1807092340481f673dfcb2c3e85ea53c3a9c8610db9c.jpg', '2017年', '2.71万', '7.00万')
('东风风行 菱智 2016款 M3 1.6L 7座豪华型 国V', 'https://image.guazistatic.com/gz01180702/10/54/c0f89c6e5b2a5bc9f70f4268ad2158f1.jpg', '2.6万公里', '4.80万', '8.60万')
('东风风行 菱智 2014款 M3 1.6L 7座舒适型', 'https://image.guazistatic.com/gz01180630/17/27/dff8f86379df2d80e002610cd77f1a76.jpg', '2013年', '3.18万', '7.80万')
('东风风行 风行S500 2016款 1.5L 手动舒适型', 'https://image.guazistatic.com/gz01180613/16/12/b07f5a5da8b8a593036b2d52dfc4931e.jpg', '2.7万公里', '4.69万', '7.20万')
('东风风行 风行CM7 2014款 2.4L 手动商务型', 'https://image1.guazistatic.com/qn180707184738cfc464c8972026edcd961c78ab95d644.jpg', '2015年', '5.29万', '14.10万')
('东风风行 景逸X3 2015款 1.5L 豪华型', 'https://image1.guazistatic.com/qn180710131914f023ebe50274674ad1af36a8a2af3cf4.jpg', '4.0万公里', '4.00万', '8.00万')
('东风风行 景逸X5 2015款 1.6L 手动尊享型', 'https://image.guazistatic.com/gz01180530/12/26/8578a616087369ced17c109915bd8a43.jpg', '2017年', '4.25万', '9.40万')
('东风风行 菱智 2015款 V3 1.6L 7座舒适型', 'https://image1.guazistatic.com/qn18070919331657632e79a667bb2dc23b558355fa2037.jpg', '2011年', '3.32万', '7.30万')
('东风风行 菱智 2014款 M5 Q3 2.0L 7座长轴舒适型', 'https://image.guazistatic.com/gz01180624/10/40/5b611d177466aef8afaaeac0d1837d4b.jpg', '4.5万公里', '5.00万', '10.80万')
