('±¦Âí3Ïµ 2013¿î 320Li Ê±ÉĞĞÍ', 'https://image1.guazistatic.com/qn18012016523194ea3e900ecab7e75f1167f0b01a6a3b.jpg', '2014Äê', '21.30Íò', '38.50Íò')
('±¦Âí5Ïµ 2009¿î 523Li ÁìÏÈĞÍ', 'https://image.guazistatic.com/gz01180628/15/14/0de0f0134456257ab665737017f845e8.jpg', '3.0Íò¹«Àï', '12.00Íò', '50.90Íò')
('±¦Âí1Ïµ 2012¿î 116i ¶¼ÊĞĞÍ(½ø¿Ú)', 'https://image.guazistatic.com/gz01180621/11/08/480e5ebe4f6b3a47140f19db5778f94a.jpg', '2009Äê', '11.60Íò', '30.20Íò')
('±¦Âí3Ïµ 2017¿î 320i MÔË¶¯ĞÍ', 'https://image1.guazistatic.com/qn180709124710dc669b88ed37ee483ac9d4049dc2e82e.jpg', '8.7Íò¹«Àï', '25.00Íò', '34.70Íò')
('±¦Âí7Ïµ 2009¿î 730LiºÀ»ªĞÍ(½ø¿Ú)', 'https://image.guazistatic.com/gz01180520/10/45/90dd0614735a7777c4cefb4e39a62ecb.jpg', '2012Äê', '28.00Íò', '110.50Íò')
('±¦Âí3Ïµ 2011¿î 325i ºÀ»ªĞÍ', 'https://image1.guazistatic.com/qn180529095724435c3cedfef79d24634e7a2b3eaf6c77.jpg', '2012Äê', '13.38Íò', '48.30Íò')
('±¦Âí3Ïµ 2013¿î ¸Ä¿î 320Li ºÀ»ªÉè¼ÆÌ××°', 'https://image.guazistatic.com/gz01180622/17/00/29c9e8c13f79406fb080cb7ac93c3ef6.jpg', '6.2Íò¹«Àï', '19.00Íò', '43.00Íò')
('±¦ÂíX3 2012¿î xDrive20i ºÀ»ªĞÍ(½ø¿Ú)', 'https://image.guazistatic.com/gz01180423/15/52/b13a3ff22861c1d8dee0736e8618672f.jpg', '11.5Íò¹«Àï', '24.50Íò', '52.90Íò')
('±¦Âí3Ïµ 2013¿î 328iÔË¶¯Éè¼ÆÌ××°(½ø¿Ú)', 'https://image.guazistatic.com/gz01180426/10/45/e28913a1de325e1b0c67d0f55f888673.jpg', '2017Äê', '22.00Íò', '46.30Íò')
('±¦Âí3Ïµ 2013¿î 328iÔË¶¯Éè¼ÆÌ××°(½ø¿Ú)', 'https://image.guazistatic.com/gz01180519/19/13/d8d86dcc40c4d916dafedef310452bb4.jpg', '2012Äê', '18.42Íò', '46.30Íò')
('±¦ÂíX6 2012¿î xDrive35i(½ø¿Ú)', 'https://image.guazistatic.com/gz01180620/11/04/fdd58360134eaa205e4eea9594413bbd.jpg', '2.4Íò¹«Àï', '41.00Íò', '115.40Íò')
